epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9833,0.99743,3.41688,1.09967,0.02444,0.88,0.04553,0.03539,0.70585,3.2956,0.89135,0,0,0
2,15.8477,1.17965,3.53987,1.19294,0.02444,0.88,0.0466,0.03633,0.69788,3.27396,0.88957,1.967e-05,1.967e-05,1.967e-05
3,17.5953,1.04456,3.49981,1.17875,0.02444,0.88,0.04709,0.03655,0.69549,3.2625,0.88894,3.868e-05,3.868e-05,3.868e-05
4,20.8592,1.08166,3.54318,1.15028,0.02444,0.88,0.04625,0.03629,0.69107,3.24874,0.88821,5.703e-05,5.703e-05,5.703e-05
5,22.9105,1.02434,3.3772,1.12611,0.02556,0.92,0.05116,0.03805,0.68956,3.22687,0.88836,7.472e-05,7.472e-05,7.472e-05
6,24.6893,1.13206,3.58414,1.21968,0.4813,0.6,0.46486,0.40335,0.57229,1.91657,0.91248,9.175e-05,9.175e-05,9.175e-05
7,27.7371,0.87384,2.1231,1.01081,0.44465,0.57678,0.42877,0.37121,0.57295,1.92181,0.91332,0.00010812,0.00010812,0.00010812
8,30.2613,0.70884,1.96643,1.06041,0.8271,0.95686,0.82495,0.71787,0.58353,1.97259,1.01007,0.00012383,0.00012383,0.00012383
9,33.7867,0.89585,1.22292,1.03699,0.80743,1,0.8681,0.71564,0.62073,4.15796,0.90278,0.00013888,0.00013888,0.00013888
10,37.0775,0.611,0.87912,0.90993,0.81227,1,0.97063,0.78295,0.65857,3.66391,0.89036,0.00015327,0.00015327,0.00015327
11,39.4591,0.60211,0.77557,0.89253,0.85055,1,0.96059,0.81839,0.54796,1.69654,0.85768,0.000167,0.000167,0.000167
12,42.4152,0.65398,0.83382,0.91345,0.87531,1,0.96543,0.83496,0.55093,1.41048,0.85173,0.00018007,0.00018007,0.00018007
13,45.2384,0.60307,0.66888,0.88045,0.91921,1,0.96324,0.81529,0.60624,1.21028,0.86801,0.00019248,0.00019248,0.00019248
14,48.392,0.59028,0.66364,0.9154,0.90374,1,0.99204,0.85047,0.55367,1.09347,0.84415,0.00020423,0.00020423,0.00020423
15,52.0236,0.64598,0.86555,0.87796,0.8327,1,0.99204,0.83162,0.58997,1.19676,0.84812,0.00021532,0.00021532,0.00021532
16,54.0818,0.55895,0.56805,0.86389,0.85829,1,0.995,0.81821,0.69395,1.28727,0.88411,0.00022575,0.00022575,0.00022575
17,56.0619,0.53402,0.57736,0.86429,0.86166,1,0.995,0.82404,0.66214,1.10397,0.87394,0.00023552,0.00023552,0.00023552
18,57.9796,0.56063,0.57389,0.86314,0.86166,1,0.995,0.82404,0.66214,1.10397,0.87394,0.00024463,0.00024463,0.00024463
19,59.996,0.52729,0.51827,0.86125,0.98715,1,0.995,0.84008,0.61345,0.69879,0.85588,0.00025308,0.00025308,0.00025308
20,62.6791,0.58451,0.55845,0.93263,0.98715,1,0.995,0.84008,0.61345,0.69879,0.85588,0.00026087,0.00026087,0.00026087
21,66.061,0.56479,0.52302,0.91618,0.95947,0.96,0.98278,0.83996,0.6101,0.84406,0.86056,0.000268,0.000268,0.000268
22,68.0325,0.53228,0.51515,0.91469,0.95947,0.96,0.98278,0.83996,0.6101,0.84406,0.86056,0.00027447,0.00027447,0.00027447
23,70.3513,0.56406,0.50866,0.85324,0.96183,0.96,0.99346,0.81826,0.64557,1.05142,0.88797,0.00028028,0.00028028,0.00028028
24,72.9997,0.60135,0.48916,0.8723,0.96183,0.96,0.99346,0.81826,0.64557,1.05142,0.88797,0.00028543,0.00028543,0.00028543
25,76.1479,0.56105,0.48331,0.88544,0.96879,1,0.995,0.82183,0.68641,0.89058,0.90579,0.00028992,0.00028992,0.00028992
26,79.796,0.54527,0.44796,0.87357,0.96879,1,0.995,0.82183,0.68641,0.89058,0.90579,0.00029375,0.00029375,0.00029375
27,82.2321,0.50363,0.44375,0.84568,0.69231,1,0.82325,0.69144,0.63897,0.83238,0.89888,0.00029692,0.00029692,0.00029692
28,84.3381,0.54459,0.46645,0.87983,0.69231,1,0.82325,0.69144,0.63897,0.83238,0.89888,0.00029943,0.00029943,0.00029943
29,86.4008,0.56469,0.48588,0.89277,0.72461,0.96,0.80934,0.70211,0.5776,0.76799,0.87141,0.00030128,0.00030128,0.00030128
30,88.5274,0.5299,0.41283,0.85568,0.72461,0.96,0.80934,0.70211,0.5776,0.76799,0.87141,0.00030247,0.00030247,0.00030247
31,91.0247,0.53325,0.41537,0.85744,0.88682,1,0.9831,0.84746,0.58437,0.73713,0.86843,0.000303,0.000303,0.000303
32,94.8402,0.5864,0.43269,0.90596,0.88682,1,0.9831,0.84746,0.58437,0.73713,0.86843,0.00030287,0.00030287,0.00030287
33,97.438,0.54564,0.48336,0.86598,0.98656,1,0.995,0.84863,0.59788,0.65675,0.86523,0.00030208,0.00030208,0.00030208
34,99.5464,0.52475,0.45303,0.87454,0.98656,1,0.995,0.84863,0.59788,0.65675,0.86523,0.00030063,0.00030063,0.00030063
35,102.171,0.51753,0.41515,0.89695,0.99168,1,0.995,0.84618,0.62675,0.55081,0.87018,0.00029852,0.00029852,0.00029852
36,104.042,0.52403,0.42249,0.85009,0.99168,1,0.995,0.84618,0.62675,0.55081,0.87018,0.00029575,0.00029575,0.00029575
37,107.262,0.5534,0.41205,0.85598,0.95568,1,0.995,0.84539,0.63113,0.52752,0.86887,0.00029232,0.00029232,0.00029232
38,110.766,0.45823,0.40232,0.85097,0.95568,1,0.995,0.84539,0.63113,0.52752,0.86887,0.00028823,0.00028823,0.00028823
39,113.121,0.51504,0.42948,0.85072,0.96794,1,0.995,0.84953,0.62381,0.53228,0.86885,0.00028348,0.00028348,0.00028348
40,114.988,0.43527,0.38008,0.81729,0.96794,1,0.995,0.84953,0.62381,0.53228,0.86885,0.00027807,0.00027807,0.00027807
41,116.989,0.46078,0.39237,0.84884,0.99397,1,0.995,0.85277,0.59886,0.50991,0.86916,0.000272,0.000272,0.000272
42,119.351,0.58365,0.39595,0.94586,0.99397,1,0.995,0.85277,0.59886,0.50991,0.86916,0.00026527,0.00026527,0.00026527
43,123.44,0.47995,0.37496,0.81629,0.97962,1,0.995,0.83674,0.63377,0.58429,0.88802,0.00025788,0.00025788,0.00025788
44,126.01,0.4755,0.3695,0.84818,0.97962,1,0.995,0.83674,0.63377,0.58429,0.88802,0.00024983,0.00024983,0.00024983
45,128.489,0.54927,0.40259,0.88315,0.97075,1,0.995,0.84377,0.59426,0.54421,0.86647,0.00024112,0.00024112,0.00024112
46,130.551,0.47861,0.36141,0.85374,0.97075,1,0.995,0.84377,0.59426,0.54421,0.86647,0.00023175,0.00023175,0.00023175
47,132.743,0.44469,0.35739,0.83097,0.9894,1,0.995,0.85266,0.58726,0.46816,0.85752,0.00022172,0.00022172,0.00022172
