epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.12065,0.97353,3.28143,1.13989,0.25585,0.2,0.13551,0.101,1.01834,2.42939,1.01203,0,0,0
2,1.82912,1.21831,3.31627,1.25017,0.26734,0.2,0.15686,0.11605,1.02415,2.44608,1.01298,1.967e-05,1.967e-05,1.967e-05
3,2.5392,1.17244,3.13566,1.31423,0.28447,0.2,0.16605,0.11995,1.02615,2.45686,1.01347,3.868e-05,3.868e-05,3.868e-05
4,3.19621,1.215,3.28714,1.29539,0.13924,0.2,0.17177,0.12385,1.03729,2.46271,1.01348,5.703e-05,5.703e-05,5.703e-05
5,3.96945,1.14703,3.30209,1.27204,0.70715,1,0.76643,0.54006,0.66011,1.07955,0.91962,7.472e-05,7.472e-05,7.472e-05
6,4.89912,0.61928,1.70563,0.92706,0.83175,0.9905,0.82917,0.54848,0.65997,1.04692,0.92101,9.175e-05,9.175e-05,9.175e-05
7,5.95209,0.54285,1.75711,0.90822,0.97986,1,0.995,0.87265,0.55064,0.95372,0.79676,0.00010812,0.00010812,0.00010812
8,7.4426,0.49494,1.08701,0.88686,0.92775,1,0.995,0.87564,0.54962,2.46783,0.8246,0.00012383,0.00012383,0.00012383
9,9.06879,0.48198,0.78503,0.84426,0.98828,1,0.995,0.86364,0.52625,1.49107,0.82017,0.00013888,0.00013888,0.00013888
10,10.3258,0.43186,0.86892,0.87762,0.81389,1,0.92833,0.81831,0.48855,1.05129,0.88355,0.00015327,0.00015327,0.00015327
11,11.1499,0.48217,0.71712,0.84392,0.98993,1,0.995,0.87265,0.53349,0.60719,0.88932,0.000167,0.000167,0.000167
12,11.9985,0.41998,0.53017,0.81017,0.99043,1,0.995,0.80785,0.74276,0.57355,0.90955,0.00018007,0.00018007,0.00018007
13,12.9234,0.49593,0.53915,0.84461,0.99034,1,0.995,0.79009,0.87308,0.70352,0.95482,0.00019248,0.00019248,0.00019248
14,13.7621,0.45736,0.48938,0.85666,0.98961,1,0.995,0.83971,0.71201,0.79909,0.95837,0.00020423,0.00020423,0.00020423
15,14.6036,0.4824,0.46647,0.85167,0.98706,1,0.995,0.70956,0.70125,0.94895,0.92488,0.00021532,0.00021532,0.00021532
16,15.4821,0.43491,0.44829,0.93355,0.98813,1,0.995,0.82385,0.71623,1.31033,0.87901,0.00022575,0.00022575,0.00022575
17,16.2918,0.41189,0.41747,0.85487,0.98614,1,0.995,0.81184,0.70941,1.27829,0.89303,0.00023552,0.00023552,0.00023552
18,17.1183,0.46318,0.39038,0.88491,0.98614,1,0.995,0.81184,0.70941,1.27829,0.89303,0.00024463,0.00024463,0.00024463
19,18.0611,0.46696,0.48033,0.88227,0.97217,1,0.995,0.86566,0.54916,1.01322,0.80254,0.00025308,0.00025308,0.00025308
20,18.8591,0.53665,0.4777,0.91045,0.97217,1,0.995,0.86566,0.54916,1.01322,0.80254,0.00026087,0.00026087,0.00026087
21,19.8734,0.41318,0.40602,0.87434,0.98379,1,0.995,0.92204,0.52725,0.67092,0.77436,0.000268,0.000268,0.000268
22,21.2759,0.43037,0.44516,0.89742,0.98379,1,0.995,0.92204,0.52725,0.67092,0.77436,0.00027447,0.00027447,0.00027447
23,22.7974,0.42138,0.44787,0.84462,0.984,1,0.995,0.90218,0.43274,0.52411,0.74785,0.00028028,0.00028028,0.00028028
24,23.8832,0.41401,0.41171,0.85994,0.984,1,0.995,0.90218,0.43274,0.52411,0.74785,0.00028543,0.00028543,0.00028543
25,24.8542,0.43024,0.42766,0.85953,0.98206,1,0.995,0.91545,0.41964,0.51215,0.73965,0.00028992,0.00028992,0.00028992
26,25.7506,0.45725,0.43149,0.91502,0.98206,1,0.995,0.91545,0.41964,0.51215,0.73965,0.00029375,0.00029375,0.00029375
27,26.6211,0.40674,0.35978,0.89562,0.98158,1,0.995,0.93141,0.40101,0.50542,0.73822,0.00029692,0.00029692,0.00029692
28,27.4985,0.46072,0.43029,0.83221,0.98158,1,0.995,0.93141,0.40101,0.50542,0.73822,0.00029943,0.00029943,0.00029943
29,28.5937,0.37145,0.31576,0.86835,0.98156,1,0.995,0.90868,0.46896,0.56846,0.77505,0.00030128,0.00030128,0.00030128
30,29.5385,0.38977,0.33179,0.86484,0.98156,1,0.995,0.90868,0.46896,0.56846,0.77505,0.00030247,0.00030247,0.00030247
31,30.4541,0.39368,0.33825,0.84348,0.98913,1,0.995,0.91534,0.5451,0.49363,0.83119,0.000303,0.000303,0.000303
32,31.3047,0.33527,0.31216,0.88222,0.98913,1,0.995,0.91534,0.5451,0.49363,0.83119,0.00030287,0.00030287,0.00030287
33,32.1554,0.4058,0.33286,0.8148,0.99024,1,0.995,0.87564,0.55024,0.43484,0.83712,0.00030208,0.00030208,0.00030208
34,33.0157,0.42886,0.40285,0.93052,0.99024,1,0.995,0.87564,0.55024,0.43484,0.83712,0.00030063,0.00030063,0.00030063
35,33.9852,0.36784,0.3373,0.79517,0.99,1,0.995,0.90534,0.52121,0.47323,0.78248,0.00029852,0.00029852,0.00029852
36,35.2312,0.37997,0.35253,0.85683,0.99,1,0.995,0.90534,0.52121,0.47323,0.78248,0.00029575,0.00029575,0.00029575
37,36.5363,0.37353,0.36182,0.85971,0.98882,1,0.995,0.90539,0.4946,0.42733,0.7674,0.00029232,0.00029232,0.00029232
38,37.7317,0.37634,0.32555,0.84322,0.98882,1,0.995,0.90539,0.4946,0.42733,0.7674,0.00028823,0.00028823,0.00028823
39,38.5775,0.39599,0.34552,0.87911,0.98781,1,0.995,0.89128,0.47096,0.38687,0.75483,0.00028348,0.00028348,0.00028348
40,39.4559,0.35165,0.30199,0.88829,0.98781,1,0.995,0.89128,0.47096,0.38687,0.75483,0.00027807,0.00027807,0.00027807
41,40.305,0.37295,0.29294,0.8635,0.98354,1,0.995,0.91514,0.4593,0.39885,0.75268,0.000272,0.000272,0.000272
42,41.1114,0.37998,0.26731,0.84022,0.98354,1,0.995,0.91514,0.4593,0.39885,0.75268,0.00026527,0.00026527,0.00026527
43,41.9378,0.40473,0.3098,0.84427,0.98104,1,0.995,0.91514,0.4729,0.40044,0.74941,0.00025788,0.00025788,0.00025788
44,42.7319,0.3692,0.29426,0.83668,0.98104,1,0.995,0.91514,0.4729,0.40044,0.74941,0.00024983,0.00024983,0.00024983
45,43.6386,0.36529,0.29615,0.8273,0.98446,1,0.995,0.90539,0.50499,0.40721,0.77237,0.00024112,0.00024112,0.00024112
46,44.4436,0.34693,0.26235,0.8614,0.98446,1,0.995,0.90539,0.50499,0.40721,0.77237,0.00023175,0.00023175,0.00023175
47,45.2976,0.37684,0.29179,0.84963,0.98563,1,0.995,0.90539,0.48476,0.38875,0.77489,0.00022172,0.00022172,0.00022172
48,46.1681,0.39867,0.29766,0.82034,0.98563,1,0.995,0.90539,0.48476,0.38875,0.77489,0.00021103,0.00021103,0.00021103
49,47.0702,0.35808,0.29566,0.83175,0.98474,1,0.995,0.91514,0.47509,0.39029,0.77486,0.00019968,0.00019968,0.00019968
50,48.1687,0.36415,0.33077,0.84767,0.98474,1,0.995,0.91514,0.47509,0.39029,0.77486,0.00018767,0.00018767,0.00018767
51,51.5872,0.30077,0.31392,0.80925,0.98417,1,0.995,0.88728,0.49056,0.37579,0.79227,0.000175,0.000175,0.000175
52,52.6425,0.33111,0.27897,0.80936,0.98417,1,0.995,0.88728,0.49056,0.37579,0.79227,0.00016167,0.00016167,0.00016167
53,53.6064,0.33388,0.27556,0.84888,0.98417,1,0.995,0.88728,0.49056,0.37579,0.79227,0.00014768,0.00014768,0.00014768
54,54.6227,0.31941,0.27772,0.82865,0.98274,1,0.995,0.9232,0.46562,0.35022,0.77249,0.00013303,0.00013303,0.00013303
55,55.5508,0.29707,0.27047,0.79431,0.98274,1,0.995,0.9232,0.46562,0.35022,0.77249,0.00011772,0.00011772,0.00011772
56,56.431,0.31476,0.28305,0.76261,0.98274,1,0.995,0.9232,0.46562,0.35022,0.77249,0.00010175,0.00010175,0.00010175
57,57.2661,0.28302,0.27064,0.8194,0.9806,1,0.995,0.9252,0.44104,0.3348,0.75881,8.512e-05,8.512e-05,8.512e-05
58,58.1827,0.28691,0.30947,0.84874,0.9806,1,0.995,0.9252,0.44104,0.3348,0.75881,6.783e-05,6.783e-05,6.783e-05
59,59.0822,0.28045,0.26631,0.76956,0.9806,1,0.995,0.9252,0.44104,0.3348,0.75881,4.988e-05,4.988e-05,4.988e-05
60,59.9788,0.26274,0.25459,0.84545,0.9799,1,0.995,0.92521,0.43689,0.32547,0.75467,3.127e-05,3.127e-05,3.127e-05
