epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1129,1.47146,5.51264,1.29947,0.00981,0.52814,0.01723,0.0111,1.39737,4.6635,1.37455,6.25e-06,6.25e-06,6.25e-06
2,59.2911,1.26144,4.65641,1.20051,0.29704,0.06612,0.05295,0.03653,1.33602,3.98841,1.31806,1.84406e-05,1.84406e-05,1.84406e-05
3,74.2457,1.36296,4.30111,1.25172,0.86429,0.18182,0.21043,0.15312,1.25503,3.39213,1.20889,3.02187e-05,3.02187e-05,3.02187e-05
4,93.4327,1.21272,3.22354,1.2158,0.88023,0.18182,0.27752,0.2063,1.08934,2.88181,1.07605,4.15844e-05,4.15844e-05,4.15844e-05
5,111.656,1.14593,3.0462,1.09241,0.79346,0.3012,0.31287,0.23788,0.9974,2.54448,0.98808,5.25375e-05,5.25375e-05,5.25375e-05
6,133.581,1.15085,2.72373,1.09553,0.3488,0.61849,0.40322,0.31865,0.92926,2.26629,0.92126,6.30781e-05,6.30781e-05,6.30781e-05
7,144.336,1.0287,2.51669,1.07397,0.4555,0.6357,0.47917,0.38295,0.863,2.2163,0.93257,7.32063e-05,7.32063e-05,7.32063e-05
8,155.517,0.95487,2.04718,0.99991,0.57191,0.5438,0.59127,0.46591,0.91539,2.26802,0.96113,8.29219e-05,8.29219e-05,8.29219e-05
9,167.042,0.89559,1.79858,0.9779,0.45243,0.81818,0.7103,0.56088,0.95371,2.04924,0.96578,9.2225e-05,9.2225e-05,9.2225e-05
10,179.424,1.14114,1.90018,1.08006,0.51428,0.86364,0.7589,0.6084,0.94774,1.90771,0.96498,0.000101116,0.000101116,0.000101116
11,205.977,0.95499,1.63158,0.93614,0.72247,0.72727,0.85486,0.69237,0.88481,1.73556,0.94648,0.000109594,0.000109594,0.000109594
12,224.973,0.82502,1.42746,0.9668,0.83932,0.60549,0.85239,0.71347,0.8459,1.57207,0.93558,0.000117659,0.000117659,0.000117659
13,249.201,0.82878,1.32146,0.96045,0.90395,0.59763,0.86542,0.72406,0.81432,1.47932,0.91465,0.000125313,0.000125313,0.000125313
14,270.381,0.92406,1.29535,1.11692,0.52709,0.90135,0.84277,0.70163,0.78023,1.43073,0.91266,0.000132553,0.000132553,0.000132553
15,301.129,0.75241,1.17732,0.98159,0.71942,0.84284,0.88182,0.7386,0.76758,1.36431,0.91106,0.000139381,0.000139381,0.000139381
16,317.056,0.76863,1.36916,0.96081,0.81993,0.81006,0.91341,0.74645,0.79708,1.18709,0.93195,0.000145797,0.000145797,0.000145797
17,350.756,0.84672,1.18981,1.0041,0.84963,0.89383,0.88947,0.73732,0.83984,1.23774,0.9358,0.0001518,0.0001518,0.0001518
18,367.137,0.85548,1.17351,0.96456,0.84897,0.90429,0.87439,0.74251,0.80834,1.34249,0.95048,0.000157391,0.000157391,0.000157391
19,384.921,0.8108,1.11821,0.90038,0.92682,0.81818,0.90455,0.76491,0.77011,1.20967,0.96895,0.000162569,0.000162569,0.000162569
20,404.447,0.80504,1.44928,1.06402,0.85371,0.81818,0.94977,0.79507,0.70931,1.02898,0.97618,0.000167334,0.000167334,0.000167334
21,430.551,0.95523,1.03501,1.01284,0.80697,0.90909,0.94977,0.81456,0.66891,0.95225,0.96459,0.000171688,0.000171688,0.000171688
22,455.832,0.76327,0.9503,0.95324,0.82612,0.90909,0.92716,0.78603,0.81661,1.01446,1.02421,0.000175628,0.000175628,0.000175628
23,471.461,0.77535,1.04391,0.96437,0.86308,0.89716,0.88947,0.71059,0.91102,1.03311,1.07388,0.000179156,0.000179156,0.000179156
24,482.738,0.91665,0.92014,0.96383,0.8485,0.89899,0.995,0.82867,0.72904,0.91563,1.00134,0.000182272,0.000182272,0.000182272
25,494.685,0.79641,0.89175,1.08576,0.83921,1,0.995,0.83768,0.6922,0.85355,0.98024,0.000184975,0.000184975,0.000184975
26,506.855,0.7387,0.7988,0.97062,0.88475,0.98383,0.995,0.82689,0.70034,0.85766,0.9758,0.000187266,0.000187266,0.000187266
27,519.117,0.84271,0.81819,0.9202,0.81163,1,0.995,0.82329,0.79582,0.85884,1.01941,0.000189144,0.000189144,0.000189144
28,531.047,0.66595,0.78608,0.94345,0.81163,1,0.995,0.82329,0.79582,0.85884,1.01941,0.000190609,0.000190609,0.000190609
29,546.585,0.78289,0.72368,0.9629,0.87069,0.90909,0.995,0.82783,0.7604,0.81199,1.00576,0.000191663,0.000191663,0.000191663
30,571.988,0.87115,0.76302,0.99317,0.75686,1,0.995,0.86833,0.6687,0.77141,0.96872,0.000192303,0.000192303,0.000192303
31,588.575,0.69198,0.95335,0.93667,0.75686,1,0.995,0.86833,0.6687,0.77141,0.96872,0.000192531,0.000192531,0.000192531
32,600.777,0.64083,0.71746,0.94207,0.91775,0.90455,0.995,0.85843,0.64073,0.73841,0.94366,0.000192347,0.000192347,0.000192347
33,612.867,0.6975,0.78142,0.97362,0.93556,0.88622,0.995,0.84789,0.64537,0.74353,0.94241,0.00019175,0.00019175,0.00019175
34,625.798,0.71901,0.78731,0.92298,0.93556,0.88622,0.995,0.84789,0.64537,0.74353,0.94241,0.000190741,0.000190741,0.000190741
35,640.794,0.67358,0.81432,0.97235,0.9078,1,0.995,0.81835,0.67126,0.69534,0.95928,0.000189319,0.000189319,0.000189319
36,653.222,0.70721,0.69616,0.86722,0.81559,1,0.995,0.82521,0.6821,0.66187,0.96351,0.000187484,0.000187484,0.000187484
37,672.338,0.67755,0.99308,1.06939,0.81559,1,0.995,0.82521,0.6821,0.66187,0.96351,0.000185238,0.000185238,0.000185238
38,694.93,0.68241,0.78164,1.02992,0.85604,1,0.995,0.88345,0.61319,0.62148,0.92954,0.000182578,0.000182578,0.000182578
39,711.634,0.62955,0.60936,0.94343,0.83997,1,0.995,0.89113,0.58196,0.62113,0.90736,0.000179506,0.000179506,0.000179506
40,725.438,0.62801,0.67086,0.91711,0.83997,1,0.995,0.89113,0.58196,0.62113,0.90736,0.000176022,0.000176022,0.000176022
41,738.947,0.62292,0.67665,0.92113,0.865,0.99224,0.995,0.89707,0.54873,0.63619,0.90012,0.000172125,0.000172125,0.000172125
42,761.863,0.63002,0.61833,0.92083,0.90434,1,0.995,0.88552,0.57534,0.60661,0.91233,0.000167816,0.000167816,0.000167816
43,778.761,0.64338,0.57284,0.8696,0.90434,1,0.995,0.88552,0.57534,0.60661,0.91233,0.000163094,0.000163094,0.000163094
44,790.39,0.64679,0.65633,0.90605,0.94705,0.99648,0.995,0.90163,0.5059,0.56038,0.88627,0.000157959,0.000157959,0.000157959
45,802.387,0.66782,0.69754,0.88785,0.94705,0.99648,0.995,0.90163,0.5059,0.56038,0.88627,0.000152413,0.000152413,0.000152413
46,818.932,0.58658,0.59733,0.94887,0.95594,1,0.995,0.91942,0.54692,0.53197,0.89331,0.000146453,0.000146453,0.000146453
47,843.333,0.70102,0.71968,0.96989,0.95594,1,0.995,0.91942,0.54692,0.53197,0.89331,0.000140081,0.000140081,0.000140081
48,858.934,0.76007,0.67953,1.02553,0.96606,1,0.995,0.91655,0.55194,0.5117,0.89269,0.000133297,0.000133297,0.000133297
49,880.811,0.67144,0.721,0.97774,0.96606,1,0.995,0.91655,0.55194,0.5117,0.89269,0.0001261,0.0001261,0.0001261
50,896.754,0.60264,0.63994,0.96058,0.95934,1,0.995,0.92292,0.50498,0.4781,0.88586,0.000118491,0.000118491,0.000118491
51,910.919,0.62987,0.73704,0.93294,0.95934,1,0.995,0.92292,0.50498,0.4781,0.88586,0.000109375,0.000109375,0.000109375
52,921.902,0.79499,0.82353,0.96723,0.94888,1,0.995,0.93059,0.46464,0.46827,0.87614,9.90625e-05,9.90625e-05,9.90625e-05
